,id,dest_type,lon,lat
0,0,supermarket,-84.45457959999999,33.68778240000006
1,1,supermarket,-84.44807359999999,33.66094670000007
2,2,supermarket,-84.46106839999999,33.67024050000003
3,3,supermarket,-84.33638919999999,33.80419640000002
4,4,supermarket,-84.30454319999996,33.78987980000005
5,5,supermarket,-84.38866269999994,33.78033230000005
6,6,supermarket,-84.36788039999999,33.77978950000005
7,7,supermarket,-84.39784829999996,33.79270850000006
8,8,supermarket,-84.34462109999998,33.85645220000004
9,9,supermarket,-84.32450119999999,33.89042720000003
10,10,supermarket,-84.38654359999998,33.82092490000008
11,11,supermarket,-84.45775789999999,33.87191900000005
12,12,supermarket,-84.48763439999999,33.88232180000006
13,13,supermarket,-84.26958369999994,33.75212710000005
14,14,supermarket,-84.41250159999998,33.80181040000008
15,15,supermarket,-84.42798349999998,33.84834060000003
16,16,supermarket,-84.33428889999999,33.87014060000007
17,17,supermarket,-84.35436009999995,33.77289770000004
18,18,supermarket,-84.31383949999997,33.81561570000002
19,19,supermarket,-84.41458629999994,33.81021170000002
20,20,supermarket,-84.36589849999996,33.77514110000004
21,21,supermarket,-84.38113809999999,33.77039420000006
22,22,supermarket,-84.35000499999995,33.71377490000003
23,23,supermarket,-84.27078209999996,33.75389520000004
24,24,supermarket,-84.52549169999998,33.80563290000003
25,25,supermarket,-84.41071629999999,33.80259760000007
26,26,supermarket,-84.35947759999993,33.85112590000006
27,27,supermarket,-84.38360459999996,33.83507920000005
28,28,supermarket,-84.48788789999998,33.68687380000006
29,29,supermarket,-84.47395919999997,33.88413490000005
30,30,supermarket,-84.38321489999998,33.88993670000008
31,31,supermarket,-84.42410889999996,33.65624380000003
32,32,supermarket,-84.32567829999994,33.80034000000006
33,33,supermarket,-84.41652199999999,33.67836300000005
34,34,supermarket,-84.50790799999999,33.72837000000004
35,35,supermarket,-84.31287799999996,33.71911500000004
36,36,supermarket,-84.29294899999996,33.63637700000004
37,37,supermarket,-84.28897799999999,33.79223500000006
38,38,supermarket,-84.36663619999996,33.80601120000006
39,39,supermarket,-84.37433719999996,33.84558190000007
40,40,supermarket,-84.37512319999996,33.84086780000007
41,41,supermarket,-84.47682619999995,33.89357980000005
42,42,supermarket,-84.34765719999996,33.72240290000008
43,43,supermarket,-84.35038349999996,33.72011910000003
44,44,supermarket,-84.33041769999994,33.89456150000007
45,45,supermarket,-84.30389889999998,33.75989270000008
46,46,supermarket,-84.48222589999995,33.83915210000004
47,47,supermarket,-84.29319565799995,33.77832473200004
48,48,supermarket,-84.31315002299993,33.73867877500004
49,49,supermarket,-84.31133369899999,33.81353145600008
50,50,supermarket,-84.34850355699996,33.76696345900007
51,51,supermarket,-84.33324477299999,33.81580123900005
52,52,supermarket,-84.50863067699999,33.72501331900003
53,53,supermarket,-84.26844720699995,33.75723727000008
54,54,supermarket,-84.34906459499996,33.81854529400005
55,55,supermarket,-84.34945667599999,33.81892537900006
56,56,supermarket,-84.37186336699995,33.79905526200002
57,57,supermarket,-84.37304911799998,33.80052774300003
58,58,supermarket,-84.38137681199998,33.84090073500005
59,59,supermarket,-84.30921489499997,33.68765093500008
60,60,supermarket,-84.49918732199995,33.72427573600004
61,61,supermarket,-84.47737586099998,33.88394356400005
62,62,supermarket,-84.39139759499994,33.81198930600004
63,63,supermarket,-84.34803628599997,33.75607115100007
64,64,supermarket,-84.43299603299994,33.73764027800007
65,65,supermarket,-84.51076628599998,33.65641964400004
66,66,supermarket,-84.41360642099994,33.75583935400005
67,67,supermarket,-84.37750723399995,33.75566924200007
68,68,supermarket,-84.47862595999999,33.86268416700005
69,69,supermarket,-84.38856020699995,33.78615099600006
70,70,supermarket,-84.36578525699997,33.82280912000004
71,71,supermarket,-84.33234472299995,33.86103729200005
72,72,supermarket,-84.36013505899996,33.74242921100006
73,73,supermarket,-84.36334775799997,33.77161616400008
74,74,supermarket,-84.35726142499999,33.74581618600007
