,id,dest_type,lon,lat
0,0,supermarket,-80.23416609999998,25.73070645000007
1,1,supermarket,-80.33532382599998,25.78703995200004
2,2,supermarket,-80.19663885399996,25.76120320100006
3,3,supermarket,-80.18818217999996,25.82029908300007
4,4,supermarket,-80.18443354699997,25.85872648700007
5,5,supermarket,-80.26115670899998,25.74812469100004
6,6,supermarket,-80.24443554099997,25.73701873300007
7,7,supermarket,-80.24773699899998,25.75095059000006
8,8,supermarket,-80.33182743599997,25.77126108300007
9,9,supermarket,-80.28213448599996,25.70809041700005
10,10,supermarket,-80.19943707299996,25.76764686700005
11,11,supermarket,-80.19486036099994,25.76492658100005
12,12,supermarket,-80.28922145699994,25.77997253200004
13,13,supermarket,-80.22624299899996,25.76582776800007
14,14,supermarket,-80.23909055399997,25.74888933100004
15,15,supermarket,-80.19018722499999,25.79436139100005
16,16,supermarket,-80.18946944699996,25.79295682000003
17,17,supermarket,-80.28815597599998,25.75672298700005
18,18,supermarket,-80.15214767299994,25.84806800000007
19,19,supermarket,-80.30886706699994,25.76491289000006
20,20,supermarket,-80.21118579999995,25.87590050000006
21,21,supermarket,-80.14012909999997,25.77558270000003
22,22,supermarket,-80.14321369999999,25.79534580000006
23,23,supermarket,-80.13992549999995,25.79458670000002
24,24,supermarket,-80.18716579999995,25.83275490000005
25,25,supermarket,-80.18706469999995,25.84820050000008
26,26,supermarket,-80.28516309999998,25.70648260000007
27,27,supermarket,-80.25556249999994,25.75768080000006
28,28,supermarket,-80.33396569999996,25.74939430000006
29,29,supermarket,-80.25772399999994,25.77224890000008
30,30,supermarket,-80.32249969999998,25.73596880000002
31,31,supermarket,-80.28831029999998,25.73477600000007
32,32,supermarket,-80.19904699999995,25.75798100000003
33,33,supermarket,-80.19902599999995,25.75797600000004
34,34,supermarket,-80.24306499999994,25.77912670000006
35,35,supermarket,-80.14121019999999,25.78104490000004
36,36,supermarket,-80.25630349999994,25.78138220000005
37,37,supermarket,-80.25134899999995,25.84330400000005
38,38,supermarket,-80.18486309999997,25.85901880000006
39,39,supermarket,-80.19625109999998,25.76111700000007
40,40,supermarket,-80.17206729999998,25.87437090000003
41,41,supermarket,-80.28225409999999,25.80823070000002
42,42,supermarket,-80.24283729999996,25.84987510000008
43,43,supermarket,-80.21055329999996,25.87008980000007
44,44,supermarket,-80.18952939999997,25.77228160000004
45,45,supermarket,-80.14276799999999,25.79374300000006
46,46,supermarket,-80.27402659999996,25.76450810000006
47,47,supermarket,-80.28882119999997,25.70275800000007
48,48,supermarket,-80.33279299999998,25.74596300000007
49,49,supermarket,-80.23943219999995,25.80419310000008
50,50,supermarket,-80.18910859999994,25.77194440000005
51,51,supermarket,-80.20320719999995,25.76584910000003
52,52,supermarket,-80.25490379999997,25.77118800000005
53,53,supermarket,-80.23053109999995,25.77039260000004
54,54,supermarket,-80.13639739999996,25.77564770000004
55,55,supermarket,-80.13197529999997,25.78780780000005
