,geoid10,population,supermarket
0,130890201001000,207.0,382.9
1,130890201001001,,501.5
2,130890201001002,,684.3
3,130890201001003,,702.0
4,130890201001004,,1601.2
5,130890201001005,,1400.4
6,130890201001006,52.0,601.1
7,130890201001007,39.0,941.1
8,130890201001008,1.0,1537.8
9,130890201001009,35.0,1167.8
10,130890201001010,75.0,893.1
11,130890201001011,88.0,1077.6
12,130890201001012,80.0,1342.4
13,130890201001013,37.0,1483.6
14,130890201001015,,1601.2
15,130890201001016,,1077.8
16,130890201001017,134.0,1166.4
17,130890201001018,77.0,1245.2
18,130890201001019,44.0,1459.9
19,130890201001020,58.0,1407.7
20,130890201001021,74.0,1158.4
21,130890201001022,45.0,1060.7
22,130890201001023,81.0,728.4
23,130890201001024,88.0,1457.8
24,130890201001025,,1467.6
25,130890201001026,48.0,1267.2
26,130890201001027,11.0,1656.2
27,130890201001028,16.0,1543.4
28,130890201001029,214.0,2606.7
29,130890201001030,36.0,2274.0
30,130890201001031,51.0,2144.2
31,130890201001032,58.0,1816.8
32,130890201001033,15.0,1662.1
33,130890201001034,69.0,1791.9
34,130890201001035,10.0,1955.3
35,130890201001036,5.0,1212.2
36,130890202001000,61.0,2547.5
37,130890202001001,124.0,2057.9
38,130890202001002,15.0,2038.5
39,130890202001003,31.0,1924.0
40,130890202001004,11.0,2228.3
41,130890202001005,89.0,1788.0
42,130890202001006,135.0,1949.9
43,130890202001007,45.0,1675.2
44,130890202001008,65.0,1391.5
45,130890202001009,2.0,1228.7
46,130890202001010,,1533.5
47,130890202001011,29.0,1621.5
48,130890202001012,34.0,1278.6
49,130890202001013,44.0,1464.1
50,130890202001014,37.0,2039.6
51,130890202001015,1.0,2028.8
52,130890202001016,1.0,2049.5
53,130890202001017,24.0,1117.7
54,130890202001018,,1783.3
55,130890202002000,118.0,1485.1
56,130890202002001,50.0,1533.8
57,130890202002002,1.0,1205.2
58,130890202002003,272.0,1559.1
59,130890202002004,11.0,1007.8
60,130890202002005,439.0,1235.0
61,130890202002006,7.0,1237.2
62,130890202002007,2.0,928.7
63,130890202002008,,1262.9
64,130890202002009,10.0,1186.3
65,130890202002010,,932.5
66,130890202002011,83.0,946.0
67,130890202002012,72.0,1471.7
68,130890202002013,128.0,834.1
69,130890202002014,2.0,996.3
70,130890203001000,4.0,2646.9
71,130890203001001,,2235.2
72,130890203001002,98.0,2227.9
73,130890203001003,46.0,2089.0
74,130890203001004,44.0,2417.7
75,130890203001005,66.0,3605.5
76,130890203001006,60.0,2377.5
77,130890203001007,57.0,2527.1
78,130890203001008,94.0,2539.7
79,130890203001009,98.0,2230.4
80,130890203001010,84.0,2125.1
81,130890203001011,44.0,2416.2
82,130890203001012,44.0,2086.0
83,130890203001013,87.0,1919.0
84,130890203002000,32.0,2056.4
85,130890203002001,149.0,2066.7
86,130890203002002,,1145.2
87,130890203002003,36.0,1584.8
88,130890203002004,40.0,1623.8
89,130890203002005,71.0,1837.4
90,130890203002006,69.0,1901.5
91,130890203002007,47.0,2027.6
92,130890203002008,51.0,2080.0
93,130890203002009,89.0,1633.2
94,130890203002010,84.0,1337.3
95,130890203002011,39.0,1798.8
96,130890203002012,,1904.5
97,130890203002013,75.0,1804.6
98,130890203002014,37.0,1640.8
