,geoid10,population,supermarket
0,245100101001000,84.0,997.6
1,245100101001001,70.0,941.3
2,245100101001002,75.0,880.3
3,245100101001003,88.0,819.7
4,245100101001004,75.0,756.4
5,245100101001005,87.0,698.0
6,245100101001006,74.0,631.5
7,245100101001007,,585.2
8,245100101001008,77.0,501.3
9,245100101001009,42.0,500.5
10,245100101001010,20.0,601.3
11,245100101001011,29.0,652.8
12,245100101001012,41.0,710.7
13,245100101001013,75.0,765.6
14,245100101001014,66.0,833.9
15,245100101001015,101.0,887.8
16,245100101001016,26.0,681.1
17,245100101001017,55.0,585.6
18,245100101001018,50.0,649.8
19,245100101002000,86.0,774.5
20,245100101002001,34.0,723.1
21,245100101002002,88.0,655.1
22,245100101002003,74.0,598.2
23,245100101002004,93.0,531.7
24,245100101002005,87.0,473.6
25,245100101002006,65.0,409.4
26,245100101002007,47.0,352.6
27,245100101002008,43.0,344.4
28,245100101002009,18.0,399.7
29,245100101002010,39.0,448.9
30,245100101002011,51.0,510.1
31,245100101002012,32.0,601.3
32,245100101002013,29.0,657.0
33,245100101002014,75.0,716.6
34,245100101002015,71.0,769.9
35,245100101002016,,429.0
36,245100101002017,23.0,551.0
37,245100101002018,12.0,612.6
38,245100101003000,112.0,764.2
39,245100101003001,48.0,682.6
40,245100101003002,12.0,635.4
41,245100101003003,8.0,573.2
42,245100101003004,45.0,555.5
43,245100101003005,1.0,456.9
44,245100101003006,,328.0
45,245100101003007,88.0,621.7
46,245100101003008,41.0,480.6
47,245100101003009,,410.5
48,245100101003010,40.0,342.4
49,245100101003011,14.0,419.8
50,245100101003012,19.0,460.0
51,245100101003013,21.0,404.9
52,245100101003014,142.0,737.1
53,245100101003015,176.0,733.5
54,245100101003016,19.0,696.6
55,245100101003017,29.0,664.6
56,245100101003018,44.0,603.7
57,245100101003019,15.0,637.2
58,245100101003020,14.0,724.9
59,245100101003021,16.0,693.1
60,245100101003022,16.0,718.5
61,245100101003023,,705.8
62,245100101003024,,781.5
63,245100101003025,,758.2
64,245100101003026,,747.0
65,245100102001000,112.0,564.9
66,245100102001001,98.0,611.8
67,245100102001002,92.0,676.4
68,245100102001003,98.0,800.7
69,245100102001004,,709.7
70,245100102001005,114.0,690.3
71,245100102001006,159.0,592.4
72,245100102001007,152.0,650.9
73,245100102002000,85.0,559.4
74,245100102002001,87.0,614.7
75,245100102002002,103.0,726.2
76,245100102002003,69.0,669.8
77,245100102002004,58.0,780.0
78,245100102002005,38.0,837.1
79,245100102002006,65.0,946.2
80,245100102002007,73.0,890.0
81,245100102003000,78.0,901.7
82,245100102003001,87.0,961.6
83,245100102003002,101.0,978.6
84,245100102003003,82.0,920.7
85,245100102003004,,886.5
86,245100102003005,95.0,800.2
87,245100102003006,93.0,686.6
88,245100102003007,74.0,743.2
89,245100102003008,81.0,807.8
90,245100102003009,79.0,867.1
91,245100102003010,73.0,930.5
92,245100102003011,99.0,989.4
