,geoid10,population,supermarket
0,170310101001000,128.0,1223.5
1,170310101001001,71.0,1030.0
2,170310101001002,45.0,957.3
3,170310101001003,335.0,994.4
4,170310101002000,152.0,896.7
5,170310101002001,45.0,1042.6
6,170310101002002,363.0,829.8
7,170310101002003,42.0,836.7
8,170310101002004,154.0,788.2
9,170310101002005,151.0,741.9
10,170310101002006,193.0,692.6
11,170310101002007,143.0,644.5
12,170310101002008,274.0,684.2
13,170310101002009,,778.1
14,170310101002010,149.0,659.3
15,170310101002011,223.0,518.1
16,170310101002012,120.0,623.7
17,170310101002013,302.0,713.7
18,170310101003000,268.0,1128.2
19,170310101003001,,1137.9
20,170310101003002,,1034.2
21,170310101003003,148.0,1182.4
22,170310101003004,291.0,1125.1
23,170310101003005,174.0,1165.9
24,170310101003006,171.0,1093.4
25,170310101003007,182.0,1010.9
26,170310101003008,192.0,918.5
27,170310101003009,114.0,914.3
28,170310101003010,153.0,872.1
29,170310101003011,236.0,766.1
30,170310101003012,35.0,836.8
31,170310102011000,141.0,802.5
32,170310102011001,74.0,850.0
33,170310102011002,68.0,907.8
34,170310102011003,75.0,906.8
35,170310102011004,117.0,1029.9
36,170310102011005,107.0,831.7
37,170310102011006,151.0,1021.4
38,170310102011007,237.0,1113.6
39,170310102011008,138.0,1171.2
40,170310102011009,42.0,993.3
41,170310102011010,134.0,993.0
42,170310102011011,32.0,889.7
43,170310102011012,62.0,1007.5
44,170310102011013,67.0,849.9
45,170310102012000,40.0,395.8
46,170310102012001,66.0,334.4
47,170310102012002,133.0,393.5
48,170310102012003,74.0,476.4
49,170310102012004,,606.6
50,170310102012005,,676.6
51,170310102012006,19.0,801.6
52,170310102012007,,837.9
53,170310102012008,111.0,898.7
54,170310102012009,86.0,721.2
55,170310102012010,36.0,616.7
56,170310102012011,45.0,615.9
57,170310102012012,76.0,491.9
58,170310102012013,36.0,396.5
59,170310102012014,88.0,439.0
60,170310102012015,413.0,555.7
61,170310102012016,82.0,577.5
62,170310102012017,127.0,532.7
63,170310102012018,77.0,687.9
64,170310102012019,35.0,721.8
65,170310102012020,,815.4
66,170310102012021,104.0,779.2
67,170310102012022,26.0,770.7
68,170310102012023,79.0,681.7
69,170310102012024,378.0,788.2
70,170310102012025,234.0,694.8
71,170310102012026,50.0,653.7
72,170310102012027,116.0,710.1
73,170310102012028,35.0,711.1
74,170310102012029,15.0,765.3
75,170310102012030,175.0,899.5
76,170310102012031,82.0,824.0
77,170310102012032,71.0,799.5
78,170310102012033,80.0,862.7
79,170310102012034,105.0,757.6
80,170310102012035,105.0,936.9
81,170310102012036,210.0,1039.8
82,170310102012037,56.0,323.1
83,170310102012038,135.0,381.4
84,170310102012039,26.0,605.7
85,170310102012040,246.0,708.9
86,170310102013000,155.0,510.4
87,170310102013001,51.0,640.7
88,170310102013002,52.0,575.0
89,170310102013003,88.0,518.9
90,170310102013004,157.0,635.0
91,170310102013005,183.0,594.0
92,170310102013006,10.0,641.8
93,170310102013007,57.0,683.2
94,170310102013008,69.0,722.8
95,170310102013009,28.0,724.6
96,170310102013010,112.0,759.7
97,170310102013011,171.0,910.9
98,170310102021000,61.0,528.9
99,170310102021001,194.0,102.2
100,170310102021002,,213.3
101,170310102021003,,251.5
102,170310102021004,406.0,443.2
103,170310102021005,174.0,441.1
104,170310102021006,16.0,617.0
105,170310102021007,127.0,730.4
106,170310102021008,,707.4
107,170310102021009,132.0,696.2
108,170310102021010,,625.6
109,170310102021011,5.0,567.2
110,170310102021012,130.0,641.9
111,170310102021013,20.0,787.4
112,170310102022000,33.0,688.6
113,170310102022001,78.0,488.7
