,index,population,supermarket
0,261635001001000,58.0,2276.8
1,261635001001001,72.0,1937.7
2,261635001001002,57.0,1734.8
3,261635001001003,77.0,1532.5
4,261635001001004,29.0,1360.3
5,261635001001005,66.0,1337.7
6,261635001001006,72.0,1518.3
7,261635001001007,77.0,1720.9
8,261635001001008,75.0,1923.9
9,261635001001009,109.0,2185.6
10,261635001001010,76.0,2160.1
11,261635001001011,79.0,1930.4
12,261635001001012,68.0,1728.0
13,261635001001013,98.0,1524.8
14,261635001001014,55.0,1322.3
15,261635001001015,59.0,1512.7
16,261635001001017,73.0,1918.3
17,261635001001018,62.0,2122.0
18,261635001001019,80.0,2372.6
19,261635001001020,72.0,1807.2
20,261635001001021,64.0,1606.2
21,261635001002000,40.0,2408.2
22,261635001002001,73.0,2215.5
23,261635001002002,78.0,2011.2
24,261635001002003,74.0,2108.6
25,261635001002004,70.0,2313.0
26,261635001002005,3.0,2413.4
27,261635001002006,54.0,2414.1
28,261635001002007,73.0,2206.4
29,261635001002008,69.0,2313.9
30,261635001002009,22.0,2393.0
31,261635001002010,105.0,2374.4
32,261635001002011,85.0,2165.7
33,261635001002012,64.0,2021.1
34,261635001002013,52.0,2049.6
35,261635001002014,9.0,1780.9
36,261635001003000,65.0,2032.3
37,261635001003001,76.0,1987.8
38,261635001003002,76.0,1887.8
39,261635001003003,91.0,1932.4
40,261635001003004,78.0,1832.9
41,261635001003005,81.0,1787.9
42,261635001003006,80.0,1687.9
43,261635001003007,104.0,1687.0
44,261635001003008,96.0,1572.2
45,261635001003009,68.0,1588.0
46,261635001003010,112.0,1538.0
47,261635001003011,39.0,1539.3
48,261635001004000,87.0,1905.1
49,261635001004001,88.0,1704.1
50,261635001004002,86.0,1802.3
51,261635001004003,53.0,2003.2
52,261635001004004,72.0,2110.6
53,261635001004005,59.0,1910.2
54,261635001004006,83.0,2013.9
55,261635001004007,60.0,2214.5
56,261635001004008,79.0,2132.8
57,261635001004009,50.0,2087.7
58,261635002001000,49.0,1158.8
59,261635002001001,43.0,957.2
60,261635002001002,41.0,750.7
61,261635002001003,77.0,707.8
62,261635002001004,61.0,912.9
63,261635002001005,83.0,1114.4
64,261635002001006,72.0,1120.3
65,261635002001007,69.0,919.0
66,261635002001008,84.0,715.0
67,261635002001009,94.0,905.5
68,261635002001010,86.0,1109.5
69,261635002001011,58.0,1310.5
70,261635002002000,87.0,1404.2
71,261635002002001,64.0,1203.1
72,261635002002002,83.0,906.0
73,261635002002003,73.0,1003.4
74,261635002002004,81.0,1301.8
75,261635002002005,83.0,1502.7
76,261635002002006,70.0,1601.0
77,261635002002007,94.0,1400.4
78,261635002002008,84.0,1200.1
79,261635002002009,77.0,1200.4
80,261635002002010,98.0,1507.6
81,261635002002011,82.0,1708.2
82,261635002003000,78.0,803.9
83,261635002003001,82.0,806.5
84,261635002003002,52.0,587.3
85,261635002003003,51.0,899.6
86,261635002003004,97.0,905.1
87,261635002003005,74.0,1001.7
88,261635002003006,68.0,1107.0
89,261635002003007,111.0,1010.7
90,261635002003008,64.0,1001.0
91,261635002004000,33.0,546.3
92,261635002004001,19.0,357.1
93,261635002004002,69.0,312.5
94,261635002004003,68.0,517.4
95,261635002004004,81.0,512.1
96,261635002004005,89.0,428.9
97,261635002004006,121.0,563.5
98,261635002004007,65.0,604.7
99,261635002004008,82.0,705.2
100,261635002004009,110.0,708.1
101,261635003001000,82.0,1812.8
102,261635003001002,86.0,1904.3
103,261635003001003,82.0,1903.2
104,261635003001005,61.0,1216.6
105,261635003001006,73.0,1317.1
106,261635003001007,41.0,1315.6
107,261635003001008,51.0,1415.6
108,261635003001009,71.0,1515.1
109,261635003001010,84.0,1901.7
110,261635003001011,115.0,1808.6
111,261635003001012,81.0,2002.3
112,261635003001013,95.0,1934.0
113,261635003002000,64.0,1834.2
114,261635003002001,62.0,1835.0
115,261635003002002,76.0,1734.3
116,261635003002003,84.0,1734.6
117,261635003002004,71.0,1633.2
118,261635003002005,93.0,1634.0
119,261635003002006,89.0,1546.7
120,261635003002007,1.0,1546.7
121,261635003002009,15.0,1670.4
122,261635003002010,66.0,1668.8
123,261635003002011,41.0,1615.3
124,261635003002012,56.0,1621.4
125,261635003002013,66.0,1725.4
126,261635003002014,37.0,1775.0
127,261635003003000,83.0,1373.2
128,261635003003001,59.0,1361.6
129,261635003003002,54.0,1553.5
130,261635003003003,105.0,1709.9
131,261635003003004,104.0,1488.0
132,261635003003005,89.0,1718.7
133,261635003003006,106.0,1862.4
134,261635003003007,73.0,2129.6
