,index,population,supermarket
0,482011000001009,16.0,1279.1
1,482011000001017,18.0,821.5
2,482011000001020,609.0,618.1
3,482011000001024,283.0,1497.7
4,482011000001029,881.0,613.6
5,482011000001030,39.0,713.4
6,482011000001035,28.0,1137.3
7,482011000001041,202.0,691.0
8,482011000001045,445.0,858.1
9,482011000001046,127.0,868.9
10,482011000001052,16.0,1209.1
11,482011000001071,1.0,579.8
12,482011000001094,316.0,194.4
13,482011000001100,50.0,91.9
14,482011000002018,2.0,1009.0
15,482011000002028,1.0,898.7
16,482011000002032,102.0,733.3
17,482011000002052,18.0,736.9
18,482011000002053,7.0,581.5
19,482011000002068,349.0,931.7
20,482011000002072,32.0,439.5
21,482011000002080,1.0,883.7
22,482011000002106,3.0,783.3
23,482011000002127,29.0,999.0
24,482011000003008,2.0,1824.4
25,482011000003015,1.0,1776.3
26,482011000003047,18.0,1394.0
27,482011000003049,126.0,1332.6
28,482011000003051,26.0,1326.2
29,482011000003061,75.0,1330.8
30,482011000003063,88.0,1220.1
31,482011000003066,3.0,1031.4
32,482011000003067,310.0,929.1
33,482011000003086,9.0,1068.3
34,482011000003101,151.0,708.0
35,482011000003114,155.0,522.4
36,482011000003115,60.0,508.1
37,482011000003123,91.0,615.1
38,482012101001014,2.0,2256.2
39,482012101001016,7.0,2209.8
40,482012101001036,7.0,1965.3
41,482012101001037,9.0,1954.0
42,482012101001039,52.0,1814.2
43,482012101001042,9043.0,1599.4
44,482012101001043,508.0,1551.2
45,482012101001045,24.0,1911.0
46,482012104001000,36.0,1580.5
47,482012104001004,4.0,1205.1
48,482012104001005,7.0,1011.6
49,482012104001006,34.0,1203.2
50,482012104001007,128.0,1251.3
51,482012104001008,1.0,1392.9
52,482012104001009,7.0,1487.0
53,482012104001010,42.0,1298.4
54,482012104001011,51.0,1298.3
55,482012104001012,61.0,1205.0
56,482012104001014,17.0,914.7
57,482012104001015,72.0,778.9
58,482012104001016,55.0,1013.3
59,482012104001017,27.0,1016.9
60,482012104001018,26.0,1109.2
61,482012104001019,23.0,1298.0
62,482012104001020,32.0,1204.6
63,482012104001021,31.0,1021.8
64,482012104001022,42.0,911.5
65,482012104001023,103.0,807.8
66,482012104001024,13.0,1163.8
67,482012104001025,11.0,972.0
68,482012104001026,27.0,882.2
69,482012104001027,40.0,797.7
70,482012104001028,71.0,606.3
71,482012104001029,6.0,947.1
72,482012104001030,19.0,873.7
73,482012104002000,21.0,861.7
74,482012104002001,25.0,861.9
75,482012104002002,28.0,782.5
76,482012104002003,24.0,700.7
77,482012104002004,58.0,607.1
78,482012104002006,43.0,262.1
79,482012104002007,56.0,175.7
80,482012104002008,80.0,254.1
81,482012104002009,46.0,335.6
82,482012104002010,53.0,416.0
83,482012104002011,21.0,539.8
84,482012104002012,5.0,573.2
85,482012104002013,16.0,652.0
86,482012104002014,26.0,758.0
87,482012104002015,32.0,881.9
88,482012104002016,28.0,953.6
89,482012104002017,33.0,949.9
90,482012104002018,33.0,936.1
91,482012104002019,41.0,776.6
92,482012104002020,52.0,701.9
93,482012104003000,65.0,1054.0
94,482012104003001,61.0,1123.6
95,482012104003002,60.0,1087.2
96,482012104003003,29.0,965.3
97,482012104003005,847.0,896.8
98,482012104003006,10.0,891.9
99,482012104003008,4.0,630.4
100,482012104003009,202.0,696.5
101,482012104003010,56.0,917.6
102,482012104003011,52.0,954.6
103,482012104003012,62.0,884.1
104,482012104003013,57.0,765.6
105,482012104003014,73.0,766.7
106,482012104003015,236.0,510.6
107,482012104003016,43.0,494.6
108,482012104003017,52.0,655.7
109,482012104003018,20.0,657.9
110,482012104003019,57.0,939.3
111,482012104003020,28.0,897.5
112,482012104003021,16.0,734.1
113,482012104003022,238.0,793.1
114,482012104003023,45.0,878.5
115,482012104003025,27.0,565.8
116,482012104003026,50.0,553.8
117,482012104003027,80.0,592.4
118,482012104003028,48.0,344.0
119,482012104003029,20.0,401.4
120,482012104003030,19.0,769.8
121,482012104004000,95.0,1676.6
122,482012104004001,18.0,1575.5
123,482012104004011,28.0,1397.1
124,482012104004014,28.0,1430.6
125,482012104004018,24.0,1568.9
126,482012104004024,36.0,1511.0
127,482012104004029,24.0,1573.0
128,482012104004037,97.0,1319.2
129,482012104004038,30.0,1347.7
130,482012104004039,41.0,1304.0
131,482012104004040,65.0,1569.0
132,482012104004041,116.0,1038.5
133,482012104004042,3.0,1036.8
134,482012104004043,57.0,1012.8
135,482012104004045,8.0,1287.5
136,482012104004046,2.0,1471.2
137,482012104004047,29.0,1487.8
138,482012104004051,33.0,1396.1
139,482012104004052,25.0,1224.9
140,482012104004054,18.0,779.9
141,482012104004055,27.0,858.5
142,482012104004056,3.0,1114.0
143,482012104004064,257.0,679.2
144,482012105001000,64.0,1198.0
145,482012105001003,14.0,721.9
146,482012105001004,58.0,631.6
147,482012105001005,51.0,542.3
148,482012105001006,64.0,451.9
149,482012105001007,79.0,364.5
150,482012105001008,75.0,273.9
151,482012105001009,25.0,343.7
152,482012105001010,35.0,156.5
153,482012105001011,9.0,235.3
154,482012105001012,39.0,250.4
155,482012105001013,76.0,364.8
156,482012105001014,62.0,451.8
157,482012105001015,59.0,542.9
158,482012105001016,40.0,631.2
159,482012105001017,45.0,718.6
160,482012105001019,9.0,778.2
161,482012105001020,25.0,1001.2
162,482012105001021,74.0,1076.8
163,482012105001022,70.0,1162.5
164,482012105001023,2.0,1118.2
165,482012105001024,51.0,820.5
166,482012105001025,69.0,720.7
167,482012105001026,15.0,529.8
168,482012105001027,84.0,510.1
169,482012105001028,22.0,458.4
170,482012105001029,21.0,572.8
171,482012105001030,50.0,773.1
172,482012105001031,59.0,696.3
173,482012105001032,37.0,1318.6
174,482012105001033,16.0,907.4
175,482012105002001,3.0,1797.3
176,482012105002002,42.0,1702.6
177,482012105002003,16.0,1608.2
178,482012105002004,85.0,1512.0
179,482012105002005,22.0,1421.6
180,482012105002007,47.0,1329.7
181,482012105002008,19.0,1423.6
182,482012105002009,49.0,1607.3
183,482012105002010,30.0,1702.5
184,482012105002011,31.0,1702.6
185,482012105002012,23.0,1797.4
186,482012105002014,20.0,1976.6
187,482012105002015,23.0,1893.5
188,482012105002016,26.0,1800.3
189,482012105002017,41.0,1704.9
190,482012105002018,39.0,1604.8
191,482012105002019,36.0,1516.6
192,482012105002020,37.0,1328.5
193,482012105002021,26.0,1236.8
194,482012105002022,13.0,1425.9
195,482012105002023,44.0,1514.6
196,482012105002024,59.0,1614.8
197,482012105002026,19.0,1894.6
