,index,population,supermarket
0,120860010023054,58.0,2386.5
1,120860010023056,364.0,2241.1
2,120860010041001,21.0,2291.0
3,120860010041002,9.0,2352.5
4,120860010041003,24.0,2430.9
5,120860010041006,50.0,2451.9
6,120860010041007,1.0,2451.9
7,120860010041009,73.0,2513.3
8,120860010041010,61.0,2702.3
9,120860010041011,3.0,2702.3
10,120860010041012,45.0,2703.1
11,120860010041013,41.0,2492.2
12,120860010041014,72.0,2602.6
13,120860010041015,84.0,2698.8
14,120860010041016,55.0,2917.1
15,120860010041019,55.0,2752.0
16,120860010041020,5.0,2659.5
17,120860010042000,8.0,2734.0
18,120860010042001,54.0,2751.6
19,120860010042011,35.0,2865.0
20,120860010042012,3.0,2811.2
21,120860010042021,185.0,3089.3
22,120860010042025,117.0,3679.3
23,120860010061015,77.0,1582.3
24,120860010062015,111.0,2054.2
25,120860010062016,120.0,1990.6
26,120860010062024,12.0,1918.0
27,120860010062027,69.0,1378.8
28,120860010063000,110.0,1307.3
29,120860010063013,83.0,1367.6
30,120860010063016,29.0,1367.4
31,120860010063020,5.0,1378.3
32,120860010063026,3.0,1352.8
33,120860010063027,5.0,1209.9
34,120860010063032,34.0,1625.6
35,120860010063038,7.0,1632.4
36,120860011042026,32.0,1335.7
37,120860011044025,7.0,550.7
38,120860011044031,205.0,585.5
39,120860011044041,69.0,594.6
40,120860011044045,41.0,1043.3
41,120860012061014,76.0,1281.1
42,120860012061015,42.0,720.9
43,120860012061016,103.0,515.3
44,120860012062013,100.0,1614.9
45,120860012062021,66.0,1600.9
46,120860013011002,110.0,1585.5
47,120860013011003,28.0,1652.0
48,120860013011004,12.0,1268.4
49,120860013011005,16.0,1189.2
50,120860013011006,66.0,1448.4
51,120860013011007,50.0,1426.1
52,120860013011008,129.0,1595.4
53,120860013011010,81.0,1530.7
54,120860013011011,135.0,1484.2
55,120860013011012,45.0,1395.7
56,120860013011014,29.0,1254.3
57,120860013011015,97.0,1296.8
58,120860013011016,32.0,1221.1
59,120860013011017,37.0,1341.7
60,120860013012001,4.0,1570.6
61,120860013012002,172.0,1581.5
62,120860013012003,187.0,961.8
63,120860013012005,155.0,1331.9
64,120860013012006,41.0,1329.6
65,120860013012007,38.0,986.2
66,120860013012011,118.0,1591.9
67,120860013012012,14.0,1396.6
68,120860013012013,54.0,1445.6
69,120860013013000,34.0,1231.3
70,120860013013001,57.0,1261.4
71,120860013013002,30.0,1149.8
72,120860013013003,67.0,844.9
73,120860013013004,59.0,956.9
74,120860013013005,18.0,514.9
75,120860013013006,104.0,754.0
76,120860013013007,83.0,665.4
77,120860013013008,117.0,1061.8
78,120860013013009,67.0,1057.3
79,120860013013010,83.0,667.4
80,120860013013011,19.0,409.7
81,120860013013012,79.0,442.5
82,120860013013013,48.0,419.4
83,120860013013014,39.0,685.7
84,120860013013015,52.0,990.5
85,120860013014000,1.0,1176.9
86,120860013014001,34.0,1225.6
87,120860013014003,135.0,707.2
88,120860013014004,8.0,514.5
89,120860013014005,277.0,767.9
90,120860013014006,533.0,943.9
91,120860013014010,95.0,792.1
92,120860013014011,113.0,1087.7
93,120860013014012,83.0,1180.0
94,120860013015000,165.0,694.4
95,120860013015001,10.0,404.5
96,120860013015002,1.0,447.8
97,120860013015008,62.0,326.1
98,120860013015009,254.0,397.6
99,120860013015010,106.0,305.9
100,120860013015012,61.0,313.6
