,index,population,supermarket
0,220710001001001,40.0,577.2
1,220710001001002,18.0,551.6
2,220710001001003,4.0,519.8
3,220710001001004,24.0,461.3
4,220710001001005,67.0,361.7
5,220710001001006,65.0,452.3
6,220710001001007,128.0,669.8
7,220710001001008,11.0,772.9
8,220710001001009,34.0,923.6
9,220710001001010,18.0,827.1
10,220710001001011,55.0,702.1
11,220710001001012,102.0,612.7
12,220710001001013,50.0,503.5
13,220710001001014,83.0,401.9
14,220710001001015,69.0,323.0
15,220710001001016,84.0,373.0
16,220710001001017,74.0,482.9
17,220710001001018,48.0,571.0
18,220710001002000,81.0,271.9
19,220710001002001,1.0,101.5
20,220710001002003,88.0,30.4
21,220710001002004,84.0,147.2
22,220710001002005,18.0,190.8
23,220710001002006,65.0,374.1
24,220710001002007,51.0,483.0
25,220710001002008,40.0,571.1
26,220710001002009,26.0,666.0
27,220710001002010,54.0,577.1
28,220710001002011,44.0,373.5
29,220710001002012,22.0,299.4
30,220710001002013,31.0,222.8
31,220710001002014,47.0,102.5
32,220710001002015,32.0,142.6
33,220710001002016,75.0,147.3
34,220710001002017,18.0,389.6
35,220710001002018,82.0,257.0
36,220710001002020,18.0,345.3
37,220710001003002,15.0,618.0
38,220710001003004,55.0,526.9
39,220710001003005,30.0,558.6
40,220710001003006,61.0,421.5
41,220710001003007,15.0,359.4
42,220710001003008,64.0,380.6
43,220710001003009,2.0,540.9
44,220710001003010,47.0,422.3
45,220710001003013,19.0,374.6
46,220710001003014,84.0,306.8
47,220710001003015,48.0,192.7
48,220710001003016,57.0,214.1
49,220710001003017,65.0,259.7
50,220710001003018,42.0,368.1
51,220710002001001,1.0,672.3
52,220710002001002,4.0,559.1
53,220710002001004,6.0,355.3
54,220710002001005,13.0,455.3
55,220710002001007,48.0,572.4
56,220710002001008,52.0,769.5
57,220710002001009,44.0,862.0
58,220710002001010,47.0,957.2
59,220710002001011,36.0,861.2
60,220710002001012,39.0,773.0
61,220710002001013,58.0,666.1
62,220710002001014,67.0,570.0
63,220710002001015,31.0,668.7
64,220710002001016,75.0,764.6
65,220710002001017,36.0,870.0
66,220710002001018,26.0,959.2
67,220710002001019,30.0,1054.6
68,220710002002000,1.0,295.6
69,220710002002001,2.0,370.3
70,220710002002003,35.0,506.3
71,220710002002004,14.0,395.9
72,220710002002005,11.0,507.8
