,index,population,supermarket
0,410510001001000,1.0,1336.9
1,410510001001005,131.0,2147.1
2,410510001001006,4.0,1792.0
3,410510001001007,9.0,1440.4
4,410510001001008,20.0,392.4
5,410510001001009,20.0,231.8
6,410510001001010,18.0,471.8
7,410510001001011,24.0,271.9
8,410510001001013,21.0,152.7
9,410510001001014,32.0,272.4
10,410510001001015,14.0,394.1
11,410510001001016,17.0,151.1
12,410510001001017,14.0,730.2
13,410510001001018,42.0,192.6
14,410510001001019,40.0,648.7
15,410510001001020,9.0,557.7
16,410510001001021,33.0,484.6
17,410510001001022,28.0,409.4
18,410510001001023,38.0,330.6
19,410510001001024,19.0,312.9
20,410510001001030,78.0,1660.7
21,410510001001034,21.0,260.3
22,410510001001035,20.0,183.4
23,410510001001036,8.0,43.0
24,410510001001037,13.0,173.8
25,410510001001038,10.0,212.1
26,410510001001039,2.0,255.3
27,410510001002000,4.0,370.8
28,410510001002001,41.0,350.6
29,410510001002002,7.0,464.2
30,410510001002003,29.0,582.7
31,410510001002004,37.0,431.1
32,410510001002006,24.0,501.6
33,410510001002007,33.0,511.8
34,410510001002008,40.0,592.2
35,410510001002009,37.0,583.7
36,410510001002010,34.0,745.4
37,410510001002011,39.0,671.9
38,410510001002012,28.0,790.9
39,410510001002013,30.0,711.4
40,410510001002014,24.0,835.0
41,410510001002015,43.0,788.0
42,410510001002016,23.0,959.4
43,410510001002017,28.0,827.2
44,410510001002018,45.0,750.8
45,410510001002019,28.0,762.7
46,410510001002020,51.0,787.9
47,410510001002021,42.0,854.8
48,410510001002022,36.0,1004.7
49,410510001002023,44.0,932.1
50,410510001002024,44.0,854.7
51,410510001002025,30.0,710.5
52,410510001002026,33.0,710.5
53,410510001002027,56.0,771.9
54,410510001002028,30.0,847.4
55,410510001003000,33.0,895.4
56,410510001003001,19.0,725.5
57,410510001003002,60.0,547.8
58,410510001003003,57.0,468.6
59,410510001003004,52.0,620.2
60,410510001003005,13.0,737.4
61,410510001003006,29.0,661.8
62,410510001003007,55.0,539.7
63,410510001003008,64.0,389.4
64,410510001003009,34.0,310.6
65,410510001003010,23.0,503.0
66,410510001003011,47.0,594.7
67,410510001003012,35.0,536.3
68,410510001003013,48.0,382.1
69,410510001003014,26.0,227.1
70,410510001003015,24.0,182.3
71,410510001003016,48.0,303.0
72,410510001003017,27.0,497.9
73,410510001004000,27.0,458.1
74,410510001004001,46.0,310.9
75,410510001004002,40.0,152.5
76,410510001004003,45.0,155.3
77,410510001004004,50.0,389.9
78,410510001004005,40.0,545.1
79,410510001004006,45.0,624.3
80,410510001004008,64.0,273.9
81,410510001004009,63.0,391.8
82,410510001004010,53.0,472.0
83,410510001004011,41.0,624.4
84,410510001004012,100.0,810.5
85,410510001004013,28.0,700.2
86,410510001004014,38.0,848.6
87,410510001004015,54.0,695.7
88,410510001004016,55.0,551.0
89,410510001004017,58.0,631.4
90,410510001004018,38.0,783.6
91,410510001004019,69.0,938.1
92,410510001004020,27.0,826.3
93,410510001004021,13.0,665.6
94,410510001004022,19.0,1044.1
95,410510001004023,22.0,900.3
96,410510001005000,28.0,186.1
97,410510001005001,51.0,308.8
98,410510001005002,46.0,308.4
99,410510001005003,36.0,153.2
100,410510001005004,49.0,233.2
101,410510001005005,45.0,387.9
102,410510001005006,46.0,466.4
103,410510001005007,46.0,312.0
104,410510001005008,41.0,391.3
105,410510001005009,63.0,546.2
106,410510001005010,56.0,624.5
107,410510001005011,65.0,470.2
108,410510001005012,51.0,627.9
109,410510001005013,62.0,928.1
110,410510001005014,20.0,801.2
111,410510001005015,21.0,868.9
112,410510001005016,131.0,688.8
113,410510001005017,23.0,938.3
114,410510001006000,27.0,426.2
115,410510001006001,24.0,502.9
116,410510001006002,30.0,584.6
117,410510001006004,2.0,833.4
118,410510001006005,52.0,900.1
119,410510001006007,2.0,1091.0
120,410510001006008,4.0,1070.4
121,410510001006010,2.0,1101.1
122,410510001006011,7.0,1067.3
123,410510001006012,49.0,817.9
124,410510001006013,9.0,759.5
125,410510001006014,17.0,672.1
126,410510001006015,13.0,739.9
127,410510001006016,14.0,742.3
128,410510001006017,22.0,663.2
129,410510001006018,17.0,584.4
130,410510001006019,14.0,505.3
131,410510001006020,16.0,426.5
132,410510001006021,22.0,583.8
133,410510001006023,238.0,999.0
134,410510001006025,53.0,1010.8
135,410510001006026,19.0,906.3
136,410510001006027,26.0,584.4
137,410510001006028,12.0,662.8
138,410510001007000,53.0,546.9
139,410510001007001,45.0,696.7
140,410510001007002,45.0,853.0
141,410510001007003,24.0,957.8
142,410510001007004,24.0,656.3
143,410510001007005,24.0,576.6
144,410510001007006,44.0,656.0
145,410510001007007,43.0,694.4
146,410510001007008,41.0,774.4
147,410510001007009,43.0,617.7
148,410510001007010,45.0,467.4
149,410510001007011,40.0,467.2
150,410510001007012,53.0,537.7
151,410510001007013,54.0,458.6
152,410510001007014,48.0,388.3
153,410510001007015,43.0,309.2
154,410510001007016,40.0,379.7
155,410510001007017,25.0,497.7
156,410510001007018,31.0,422.8
157,410510001007019,26.0,503.4
158,410510001007020,22.0,582.5
159,410510001007021,7.0,745.6
160,410510001007022,40.0,862.4
161,410510001007023,14.0,208.1
162,410510001007024,47.0,303.8
163,410510001007026,80.0,959.1
164,410510002001002,32.0,1208.5
165,410510002001005,84.0,1647.9
166,410510002001006,148.0,1768.8
167,410510002001007,7.0,1399.0
168,410510002001011,113.0,1195.4
169,410510002001012,92.0,1129.3
170,410510002001015,90.0,1035.7
171,410510002001016,35.0,1173.4
172,410510002001017,9.0,955.8
173,410510002001018,17.0,853.5
174,410510002001019,18.0,949.6
175,410510002001020,27.0,990.5
176,410510002001021,84.0,1168.8
177,410510002001022,36.0,989.7
178,410510002001023,14.0,910.0
179,410510002001024,7.0,822.6
180,410510002001025,42.0,818.3
181,410510002001026,20.0,874.3
182,410510002001027,48.0,990.3
183,410510002001028,38.0,1128.2
184,410510002002003,53.0,934.8
185,410510002002004,103.0,958.5
186,410510002002005,55.0,1026.1
187,410510002002006,49.0,956.0
188,410510002002007,45.0,884.8
189,410510002002008,41.0,815.0
190,410510002002009,24.0,743.5
