,index,population,supermarket
0,530330001001001,1.0,1782.5
1,530330001001002,69.0,3699.6
2,530330001001006,78.0,2976.8
3,530330001001009,18.0,1868.9
4,530330001001010,24.0,1851.7
5,530330001001011,64.0,1347.7
6,530330001001012,33.0,1185.3
7,530330001001013,71.0,982.7
8,530330001001014,13.0,1052.7
9,530330001001015,196.0,1321.2
10,530330001001016,84.0,2777.4
11,530330001001017,33.0,2546.0
12,530330001001018,117.0,1938.1
13,530330001001020,107.0,2185.6
14,530330001001021,111.0,832.1
15,530330001001022,22.0,1616.6
16,530330001001024,65.0,887.9
17,530330001001025,51.0,780.3
18,530330001001026,46.0,681.7
19,530330001001027,47.0,679.6
20,530330001002000,44.0,1087.5
21,530330001002001,45.0,1162.0
22,530330001002002,49.0,685.4
23,530330001002003,57.0,681.7
24,530330001002004,50.0,985.8
25,530330001002005,30.0,751.6
26,530330001002006,669.0,918.8
27,530330001002007,54.0,509.7
28,530330001002010,111.0,686.0
29,530330001002011,74.0,945.2
30,530330001002012,51.0,478.8
31,530330001003000,123.0,793.3
32,530330001003001,203.0,252.0
33,530330001003002,84.0,628.7
34,530330001003003,407.0,354.8
35,530330001003004,324.0,459.3
36,530330001003005,196.0,631.3
37,530330001004000,161.0,1298.8
38,530330001004001,598.0,1307.1
39,530330001004002,543.0,1113.4
40,530330001004003,190.0,933.3
41,530330001005000,23.0,628.4
42,530330001005001,91.0,868.4
43,530330001005002,50.0,634.1
44,530330001005003,38.0,569.1
45,530330001005004,238.0,159.4
46,530330001005005,502.0,219.5
47,530330002001000,129.0,1283.2
48,530330002001001,33.0,1000.1
49,530330002001002,49.0,969.5
50,530330002001003,46.0,1099.3
51,530330002001004,44.0,1098.9
52,530330002001005,41.0,1243.6
53,530330002001006,55.0,1377.6
54,530330002001007,62.0,1322.1
55,530330002001008,114.0,1111.1
56,530330002001009,29.0,1240.3
57,530330002001010,51.0,1157.6
58,530330002001011,33.0,1298.0
59,530330002001012,22.0,1150.5
60,530330002001013,22.0,1156.6
61,530330002001014,79.0,1088.5
62,530330002001015,37.0,1275.8
63,530330002001016,67.0,738.6
64,530330002001017,70.0,741.3
65,530330002001018,103.0,736.1
66,530330002002000,68.0,1170.1
67,530330002002001,58.0,770.3
68,530330002002002,103.0,951.9
69,530330002002003,16.0,1220.7
70,530330002002004,231.0,1152.4
71,530330002002005,60.0,1075.6
72,530330002002006,49.0,852.3
73,530330002002007,55.0,773.2
74,530330002002008,65.0,539.4
75,530330002002009,61.0,809.8
76,530330002002010,46.0,855.5
77,530330002002011,44.0,748.7
78,530330002002012,297.0,338.3
79,530330002002014,97.0,346.4
80,530330002002015,110.0,461.8
81,530330002003000,849.0,1619.5
82,530330002003001,128.0,1123.7
83,530330002003003,46.0,1028.9
84,530330002003004,34.0,993.8
85,530330002003005,116.0,847.2
86,530330002003006,213.0,771.9
87,530330002003007,123.0,1160.5
88,530330002004000,50.0,232.9
89,530330002004001,56.0,67.8
90,530330002004002,217.0,685.6
91,530330002004003,49.0,435.5
92,530330002004004,48.0,639.1
93,530330002004005,206.0,810.1
94,530330002004006,25.0,910.7
95,530330002004007,42.0,961.1
96,530330002004008,41.0,1039.0
97,530330002004009,44.0,844.9
98,530330002004010,47.0,1042.3
99,530330002004012,45.0,1199.1
100,530330002004013,86.0,1312.1
101,530330002004014,97.0,1264.8
102,530330002005000,582.0,1336.9
103,530330002005001,26.0,868.3
104,530330002005002,44.0,1309.1
105,530330002005003,44.0,578.9
106,530330002005004,262.0,397.8
107,530330002005005,71.0,741.2
108,530330002005006,94.0,681.5
109,530330002005007,135.0,745.5
110,530330002005008,49.0,371.4
111,530330002005009,17.0,322.9
112,530330002006000,35.0,869.2
113,530330002006001,41.0,691.2
114,530330002006002,38.0,515.1
115,530330002006003,63.0,438.7
116,530330002006004,110.0,450.7
117,530330002006005,56.0,583.7
118,530330002006006,46.0,632.2
119,530330002006007,71.0,823.3
120,530330002006008,65.0,912.2
121,530330002006009,61.0,913.2
122,530330002006010,22.0,851.7
123,530330002006011,47.0,740.8
124,530330002006012,44.0,949.6
125,530330002006013,53.0,915.3
126,530330002006014,34.0,981.0
127,530330002006015,57.0,1073.8
128,530330002006016,58.0,1246.6
129,530330002006017,38.0,1159.5
130,530330002006018,47.0,1175.7
131,530330002006019,32.0,1012.6
132,530330002006020,26.0,1200.8
133,530330002006021,50.0,1246.2
134,530330002006022,46.0,1346.5
135,530330002006023,54.0,1256.1
136,530330002006024,42.0,1151.8
137,530330002006025,26.0,1200.7
138,530330002006026,21.0,886.7
139,530330002006027,31.0,1063.2
140,530330003001005,7.0,1780.3
141,530330003001007,56.0,1589.8
142,530330003001008,51.0,1481.3
143,530330003001009,122.0,1639.9
144,530330003001010,57.0,1309.3
145,530330003001011,30.0,1263.6
146,530330003001012,27.0,1056.0
147,530330003001013,56.0,1250.9
148,530330003001014,7.0,1029.9
149,530330003001015,96.0,1179.0
150,530330003001016,47.0,1602.2
151,530330003001017,46.0,1692.7
